DATE,DAY,USD-PHP,RON 100,RON 97,RON 95,RON 91,DIESEL,DIESEL PLUS,KEROSENE
16-Dec-20,1,47.888,46.9,49.735,46.11,45.3,33.655,36.455,39.61
24-Dec-20,8,47.9266,47.65,50.485,46.86,45.675,34.505,37.305,40.41
30-Dec-20,14,48.1,47.65,50.485,47.11,45.925,34.78,37.255,40.175
6-Jan-21,21,48.0446,48.1,50.935,45.26,45.925,34.105,36.905,42.535
14-Jan-21,29,48.0615,48.675,51.785,46.685,44.65,34.405,37.305,42.875
21-Jan-21,36,48.082,49.675,52.785,47.235,45.525,35.035,37.83,43.46
27-Jan-21,42,48.0747,49.15,51.26,48.01,46.84,35.73,37.73,43.885
4-Feb-21,50,48.0811,49.4,51.51,48.635,46.9,36.23,38.23,43.71
11-Feb-21,57,48.0576,49.05,52.36,49.06,47.325,36.78,38.78,44.21
18-Feb-21,64,48.4454,49.8,53.11,48.51,46.25,36.905,39.405,44.76
25-Feb-21,71,48.9781,51,54.31,49.51,47.375,38.43,40.505,45.81
4-Mar-21,78,48.5781,52,55.31,50.51,48.35,39.255,41.405,46.66
11-Mar-21,85,48.4925,51.9,55.21,50.385,48.2,39.235,41.48,46.46
18-Mar-21,92,48.6808,53.15,54.835,51.635,49.575,40.1,42.15,46.885
25-Mar-21,99,48.6249,53.15,54.835,51.635,49.575,39.8,42.425,47.085
1-Apr-21,106,48.4861,51.95,53.635,50.435,48.375,38.55,40.95,45.46
8-Apr-21,113,48.5932,52.6,54.285,50.76,48.7,38.6,41,45.51
15-Apr-21,120,48.4563,52.35,54.035,50.635,48.75,38.6,41.03,45.46
22-Apr-21,127,48.385,52.95,54.635,51.235,49.325,39.275,41.6,45.835
29-Apr-21,134,48.3041,53.4,55.085,51.685,49.775,39.525,41.95,46.485
6-May-21,141,47.95,53.6,55.285,50.5,51.7,40.7,42.3,46.835
13-May-21,148,47.7807,54.35,56.035,52.26,51.685,35.875,38.3,47.61
20-May-21,155,47.9108,54.15,55.835,52.985,50.6,40.775,43.45,47.96
